FEATUREID,STRATNO,MAPSYMBOL,PLOTSYMBOL,NAME,DESCR,REPAGE_URI,YNGAGE_URI,LITHOLOGY,REPLITH_UR
GA_GUP2.5M_0003462,76567,Klv,Kv,Cretaceous felsic to mafic volcanics,Predominantly a bimodal mixture of mafic and felsic volcanics,Cretaceous,LowerCretaceous,igneous mafic volcanic and igneous felsic volcanic,basalt
GA_GUP2.5M_0003463,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0003464,76640,-Pmdi,Mi,Mesoproterozoic intrusive complexes,Mixed felsic mafic andor alkaline intrusives,Mesoproterozoic,Stenian,igneous intrusive,phaneritic_igneous_rock
GA_GUP2.5M_0003465,76583,-Ppjg,Lg,Paleoproterozoic granites,Mainly felsic intrusive rocks,Paleoproterozoic,Statherian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003466,76691,Plc,Ps,Permian sedimentary rocks,Predominantly sedimentary rocks,Permian,Cisuralian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003467,76676,-Pnk,Ns,Neoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Neoproterozoic,Cryogenian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003468,76637,-Pmig,Mg,Mesoproterozoic granites,Mainly felsic intrusive rocks,Mesoproterozoic,Mesoproterozoic,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003469,76549,DCv,DCv,Devonian to Carboniferous felsic to mafic volcanics,Predominantly a bimodal mixture of mafic and felsic volcanics,Devonian,Mississippian,igneous mafic volcanic and igneous felsic volcanic,basalt
GA_GUP2.5M_0003470,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003471,76517,A1,As,Archean sedimentary rocks,Predominantly sedimentary rocks,Archean,Mesoarchean,sedimentary,sedimentary_rock
GA_GUP2.5M_0003472,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0003473,76691,Plc,Ps,Permian sedimentary rocks,Predominantly sedimentary rocks,Permian,Cisuralian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003474,76637,-Pmig,Mg,Mesoproterozoic granites,Mainly felsic intrusive rocks,Mesoproterozoic,Mesoproterozoic,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003475,76698,Pz,Pzs,Early Paleozoic sedimentary rocks,Predominantly sedimentary rocks,Permian,Lopingian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003476,76608,-Ppw,Ls,Paleoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Paleoproterozoic,Orosirian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003477,76583,-Ppjg,Lg,Paleoproterozoic granites,Mainly felsic intrusive rocks,Paleoproterozoic,Statherian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003478,76504,A4f,Af,Archean felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Archean,Neoarchean,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0003479,76516,A3,As,Archean sedimentary rocks,Predominantly sedimentary rocks,Archean,Neoarchean,sedimentary,sedimentary_rock
GA_GUP2.5M_0003480,76694,Pup,Ps,Permian sedimentary rocks,Predominantly sedimentary rocks,Permian,Lopingian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003481,76538,Czb,Czb,Cenozoic mafic volcanics,Mainly basaltic rocks,Cenozoic,Holocene,igneous mafic volcanic,basalt
GA_GUP2.5M_0003482,76691,Plc,Ps,Permian sedimentary rocks,Predominantly sedimentary rocks,Permian,Cisuralian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003483,76538,Czb,Czb,Cenozoic mafic volcanics,Mainly basaltic rocks,Cenozoic,Holocene,igneous mafic volcanic,basalt
GA_GUP2.5M_0003484,76588,-Pprg,Lg,Paleoproterozoic granites,Mainly felsic intrusive rocks,Paleoproterozoic,Orosirian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003485,76691,Plc,Ps,Permian sedimentary rocks,Predominantly sedimentary rocks,Permian,Cisuralian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003486,76500,A3b,Ab,Archean mafic volcanics,Mainly basaltic rocks,Archean,Neoarchean,igneous mafic volcanic,basalt
GA_GUP2.5M_0003487,76503,A2d,Ad,Archean mafic intrusives,Dolerite gabbro and other mafic igneous rocks,Archean,Archean,igneous mafic intrusive,gabbroic_rock
GA_GUP2.5M_0003488,76504,A4f,Af,Archean felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Archean,Neoarchean,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0003489,76583,-Ppjg,Lg,Paleoproterozoic granites,Mainly felsic intrusive rocks,Paleoproterozoic,Statherian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003490,76615,-Ppn,Ls,Paleoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Paleoproterozoic,Rhyacian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003491,76676,-Pnk,Ns,Neoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Neoproterozoic,Cryogenian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003492,76569,-Ppjb,Lb,Paleoproterozoic mafic volcanics,Mainly basaltic rocks,Paleoproterozoic,Statherian,igneous mafic volcanic,basalt
GA_GUP2.5M_0003493,76516,A3,As,Archean sedimentary rocks,Predominantly sedimentary rocks,Archean,Neoarchean,sedimentary,sedimentary_rock
GA_GUP2.5M_0003494,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0003495,76613,-Ppp,Ls,Paleoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Paleoproterozoic,Orosirian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003496,76610,-Ppo,Ls,Paleoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Paleoproterozoic,Orosirian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003497,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0003498,76509,A1g,Ag,Archean granites,Mainly felsic intrusive rocks,Archean,Paleoarchean,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003499,76651,-Pmw,Ms,Mesoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Mesoproterozoic,Stenian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003500,76637,-Pmig,Mg,Mesoproterozoic granites,Mainly felsic intrusive rocks,Mesoproterozoic,Mesoproterozoic,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003501,76508,A2g,Ag,Archean granites,Mainly felsic intrusive rocks,Archean,Neoarchean,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003502,76572,-Ppsd,Ld,Paleoproterozoic mafic intrusives,Dolerite gabbro and other mafic igneous rocks,Paleoproterozoic,Statherian,igneous mafic intrusive,gabbroic_rock
GA_GUP2.5M_0003503,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0003504,76601,-Pptx,Ln,Paleoproterozoic granulite-facies metamorphics,High-grade metamorphic rocks generally with granulite facies assemblages,Paleoproterozoic,Orosirian,high grade metamorphic rock,metamorphic_rock
GA_GUP2.5M_0003506,76555,Dl,Ds,Devonian sedimentary rocks,Predominantly sedimentary rocks,Devonian,LowerDevonian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003507,76608,-Ppw,Ls,Paleoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Paleoproterozoic,Orosirian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003505,76583,-Ppjg,Lg,Paleoproterozoic granites,Mainly felsic intrusive rocks,Paleoproterozoic,Statherian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003508,76567,Klv,Kv,Cretaceous felsic to mafic volcanics,Predominantly a bimodal mixture of mafic and felsic volcanics,Cretaceous,LowerCretaceous,igneous mafic volcanic and igneous felsic volcanic,basalt
